uri,code,title,class_kind,semantic_level,depth,parent_uri,parent_code,parent_title,child_count,is_leaf,is_three_character_code,is_terminal_code,browser_url
http://id.who.int/icd/release/10/2019/A97.1,A97.1,Dengue with warning signs,category,final_code,4,http://id.who.int/icd/release/10/2019/A97,A97,Dengue,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/A97.1
http://id.who.int/icd/release/10/2019/A97.2,A97.2,Severe Dengue,category,final_code,4,http://id.who.int/icd/release/10/2019/A97,A97,Dengue,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/A97.2
http://id.who.int/icd/release/10/2019/A97.9,A97.9,"Dengue, unspecified",category,final_code,4,http://id.who.int/icd/release/10/2019/A97,A97,Dengue,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/A97.9
http://id.who.int/icd/release/10/2019/A98,A98,"Other viral haemorrhagic fevers, not elsewhere classified",category,three_character,3,http://id.who.int/icd/release/10/2019/A92-A99,A92-A99,Arthropod-borne viral fevers and viral haemorrhagic fevers,7,false,true,false,http://apps.who.int/classifications/icd10/browse/2019/en#/A98
http://id.who.int/icd/release/10/2019/A98.0,A98.0,Crimean-Congo haemorrhagic fever,category,final_code,4,http://id.who.int/icd/release/10/2019/A98,A98,"Other viral haemorrhagic fevers, not elsewhere classified",0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/A98.0
http://id.who.int/icd/release/10/2019/A98.1,A98.1,Omsk haemorrhagic fever,category,final_code,4,http://id.who.int/icd/release/10/2019/A98,A98,"Other viral haemorrhagic fevers, not elsewhere classified",0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/A98.1
http://id.who.int/icd/release/10/2019/A98.2,A98.2,Kyasanur Forest disease,category,final_code,4,http://id.who.int/icd/release/10/2019/A98,A98,"Other viral haemorrhagic fevers, not elsewhere classified",0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/A98.2
http://id.who.int/icd/release/10/2019/A98.3,A98.3,Marburg virus disease,category,final_code,4,http://id.who.int/icd/release/10/2019/A98,A98,"Other viral haemorrhagic fevers, not elsewhere classified",0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/A98.3
http://id.who.int/icd/release/10/2019/A98.4,A98.4,Ebola virus disease,category,final_code,4,http://id.who.int/icd/release/10/2019/A98,A98,"Other viral haemorrhagic fevers, not elsewhere classified",0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/A98.4
http://id.who.int/icd/release/10/2019/A98.5,A98.5,Haemorrhagic fever with renal syndrome,category,final_code,4,http://id.who.int/icd/release/10/2019/A98,A98,"Other viral haemorrhagic fevers, not elsewhere classified",0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/A98.5
http://id.who.int/icd/release/10/2019/A98.8,A98.8,Other specified viral haemorrhagic fevers,category,final_code,4,http://id.who.int/icd/release/10/2019/A98,A98,"Other viral haemorrhagic fevers, not elsewhere classified",0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/A98.8
http://id.who.int/icd/release/10/2019/A99,A99,Unspecified viral haemorrhagic fever,category,three_character,3,http://id.who.int/icd/release/10/2019/A92-A99,A92-A99,Arthropod-borne viral fevers and viral haemorrhagic fevers,0,true,true,true,http://apps.who.int/classifications/icd10/browse/2019/en#/A99
http://id.who.int/icd/release/10/2019/B00-B09,B00-B09,Viral infections characterized by skin and mucous membrane lesions,block,block,2,http://id.who.int/icd/release/10/2019/I,I,Certain infectious and parasitic diseases,10,false,false,false,http://apps.who.int/classifications/icd10/browse/2019/en#/B00-B09
http://id.who.int/icd/release/10/2019/B00,B00,Herpesviral [herpes simplex] infections,category,three_character,3,http://id.who.int/icd/release/10/2019/B00-B09,B00-B09,Viral infections characterized by skin and mucous membrane lesions,9,false,true,false,http://apps.who.int/classifications/icd10/browse/2019/en#/B00
http://id.who.int/icd/release/10/2019/B00.0,B00.0,Eczema herpeticum,category,final_code,4,http://id.who.int/icd/release/10/2019/B00,B00,Herpesviral [herpes simplex] infections,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B00.0
http://id.who.int/icd/release/10/2019/B00.1,B00.1,Herpesviral vesicular dermatitis,category,final_code,4,http://id.who.int/icd/release/10/2019/B00,B00,Herpesviral [herpes simplex] infections,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B00.1
http://id.who.int/icd/release/10/2019/B00.2,B00.2,Herpesviral gingivostomatitis and pharyngotonsillitis,category,final_code,4,http://id.who.int/icd/release/10/2019/B00,B00,Herpesviral [herpes simplex] infections,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B00.2
http://id.who.int/icd/release/10/2019/B00.3,B00.3,Herpesviral meningitis,category,final_code,4,http://id.who.int/icd/release/10/2019/B00,B00,Herpesviral [herpes simplex] infections,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B00.3
http://id.who.int/icd/release/10/2019/B00.4,B00.4,Herpesviral encephalitis,category,final_code,4,http://id.who.int/icd/release/10/2019/B00,B00,Herpesviral [herpes simplex] infections,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B00.4
http://id.who.int/icd/release/10/2019/B00.5,B00.5,Herpesviral ocular disease,category,final_code,4,http://id.who.int/icd/release/10/2019/B00,B00,Herpesviral [herpes simplex] infections,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B00.5
http://id.who.int/icd/release/10/2019/B00.7,B00.7,Disseminated herpesviral disease,category,final_code,4,http://id.who.int/icd/release/10/2019/B00,B00,Herpesviral [herpes simplex] infections,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B00.7
http://id.who.int/icd/release/10/2019/B00.8,B00.8,Other forms of herpesviral infection,category,final_code,4,http://id.who.int/icd/release/10/2019/B00,B00,Herpesviral [herpes simplex] infections,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B00.8
http://id.who.int/icd/release/10/2019/B00.9,B00.9,"Herpesviral infection, unspecified",category,final_code,4,http://id.who.int/icd/release/10/2019/B00,B00,Herpesviral [herpes simplex] infections,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B00.9
