code,title,node_type,semantic_level,parent_code,chapter_code,chapter_title,block_code,block_title,three_character_code,three_character_title,has_children,is_leaf,is_three_character_code,is_detailed_code,is_coding_selectable,sex_selectable,age_group_selectable,policy_status,restriction_note
A19.8,Other miliary tuberculosis,category,detailed_code,A19,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A19,Miliary tuberculosis,false,true,false,true,,,,unreviewed,
A19.9,"Miliary tuberculosis, unspecified",category,detailed_code,A19,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A19,Miliary tuberculosis,false,true,false,true,,,,unreviewed,
A20-A28,Certain zoonotic bacterial diseases,block,block,I,I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,,,true,false,false,false,,,,unreviewed,
A20,Plague,category,three_character,A20-A28,I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A20,Plague,true,false,true,false,,,,unreviewed,
A20.0,Bubonic plague,category,detailed_code,A20,I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A20,Plague,false,true,false,true,,,,unreviewed,
A20.1,Cellulocutaneous plague,category,detailed_code,A20,I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A20,Plague,false,true,false,true,,,,unreviewed,
A20.2,Pneumonic plague,category,detailed_code,A20,I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A20,Plague,false,true,false,true,,,,unreviewed,
A20.3,Plague meningitis,category,detailed_code,A20,I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A20,Plague,false,true,false,true,,,,unreviewed,
A20.7,Septicaemic plague,category,detailed_code,A20,I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A20,Plague,false,true,false,true,,,,unreviewed,
A20.8,Other forms of plague,category,detailed_code,A20,I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A20,Plague,false,true,false,true,,,,unreviewed,
A20.9,"Plague, unspecified",category,detailed_code,A20,I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A20,Plague,false,true,false,true,,,,unreviewed,
A21,Tularaemia,category,three_character,A20-A28,I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A21,Tularaemia,true,false,true,false,,,,unreviewed,
A21.0,Ulceroglandular tularaemia,category,detailed_code,A21,I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A21,Tularaemia,false,true,false,true,,,,unreviewed,
A21.1,Oculoglandular tularaemia,category,detailed_code,A21,I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A21,Tularaemia,false,true,false,true,,,,unreviewed,
A21.2,Pulmonary tularaemia,category,detailed_code,A21,I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A21,Tularaemia,false,true,false,true,,,,unreviewed,
A21.3,Gastrointestinal tularaemia,category,detailed_code,A21,I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A21,Tularaemia,false,true,false,true,,,,unreviewed,
A21.7,Generalized tularaemia,category,detailed_code,A21,I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A21,Tularaemia,false,true,false,true,,,,unreviewed,
A21.8,Other forms of tularaemia,category,detailed_code,A21,I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A21,Tularaemia,false,true,false,true,,,,unreviewed,
A21.9,"Tularaemia, unspecified",category,detailed_code,A21,I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A21,Tularaemia,false,true,false,true,,,,unreviewed,
