code,title,chapter_no,selectable,sex,age,rule,restriction_rule,residual,leaf,flags
1B21.Z,Non-tuberculous mycobacterial infection of unspecified site,01,yes,both,all,annex,default,yes,yes,
1B2Y,Other specified mycobacterial diseases,01,yes,both,all,annex,default,yes,yes,
1B2Z,"Mycobacterial diseases, unspecified",01,yes,both,all,annex,default,yes,yes,
1B40,Acute rheumatic fever without mention of heart involvement,01,yes,both,all,annex,default,no,no,
1B40.0,"Rheumatic arthritis, acute or subacute",01,yes,both,all,annex,default,no,yes,
1B40.Y,Other specified acute rheumatic fever without mention of heart involvement,01,yes,both,all,annex,default,yes,yes,
1B40.Z,"Acute rheumatic fever without mention of heart involvement, unspecified",01,yes,both,all,annex,icd10 I00,yes,yes,
1B41,Acute rheumatic fever with heart involvement,01,yes,both,all,annex,default,no,no,
1B41.0,Acute rheumatic pericarditis,01,yes,both,all,annex,icd10 I01.0,no,yes,
1B41.1,Acute rheumatic endocarditis,01,yes,both,all,annex,default,no,no,
1B41.10,Rheumatic aortitis,01,yes,both,all,annex,default,no,yes,
1B41.1Y,Other specified acute rheumatic endocarditis,01,yes,both,all,annex,default,yes,yes,
1B41.1Z,"Acute rheumatic endocarditis, unspecified",01,yes,both,all,annex,icd10 I01.1,yes,yes,
1B41.2,Acute rheumatic myocarditis,01,yes,both,all,annex,icd10 I01.2,no,yes,
1B41.Y,Other acute rheumatic heart disease,01,yes,both,all,annex,default,yes,yes,
1B41.Z,"Acute rheumatic heart disease, unspecified",01,yes,both,all,annex,icd10 I01 I01.8 I01.9,yes,yes,
1B42,Rheumatic chorea,01,yes,both,all,annex,icd10 I02 I02.0 I02.9,no,yes,
1B50,Scarlet fever,01,yes,both,all,annex,icd10 A38,no,yes,
1B51,Streptococcal pharyngitis,01,yes,both,all,annex,icd10 J02.0,no,yes,
1B53,Meningitis due to Streptococcus,01,yes,both,all,annex,icd10 G00.1 G00.2,no,yes,
1B54,Meningitis due to Staphylococcus,01,yes,both,all,annex,icd10 G00.3,no,yes,
1B5Y,Other specified staphylococcal or streptococcal diseases,01,yes,both,all,annex,default,yes,yes,
1B5Z,"Staphylococcal or streptococcal diseases, unspecified",01,yes,both,all,annex,icd10 A40.0 A40.1 A40.3 A41.0,yes,yes,
1B70,"Bacterial cellulitis, erysipelas or lymphangitis",01,yes,both,all,annex,default,no,no,
1B70.0,Erysipelas,01,yes,both,all,annex,default,no,no,
1B70.00,Erysipelas of face,01,yes,both,all,annex,default,no,yes,
1B70.01,Erysipelas of external ear,01,yes,both,all,annex,default,no,yes,
1B70.02,Erysipelas of lower limb,01,yes,both,all,annex,default,no,yes,
1B70.0Y,Erysipelas of other specified site,01,yes,both,all,annex,default,yes,yes,
1B70.0Z,"Erysipelas, unspecified",01,yes,both,all,annex,icd10 A46,yes,yes,
1B70.1,Streptococcal cellulitis of skin,01,yes,both,all,annex,icd10 L03.3,no,yes,
1B70.2,Staphylococcal cellulitis of skin,01,yes,both,all,annex,default,no,yes,
1B70.3,Ascending bacterial lymphangitis,01,yes,both,all,annex,default,no,yes,
1B70.Y,Bacterial cellulitis or lymphangitis due to other specified bacterium,01,yes,both,all,annex,default,yes,yes,
1B70.Z,Bacterial cellulitis or lymphangitis due to unspecified bacterium,01,yes,both,all,annex,icd10 L03 L03.0 L03.1 L03.2 L03.8 L03.9,yes,yes,
1B71,Necrotising fasciitis,01,yes,both,all,annex,default,no,no,
1B71.0,Streptococcal necrotising fasciitis,01,yes,both,all,annex,default,no,yes,
1B71.1,Polymicrobial necrotising fasciitis,01,yes,both,all,annex,default,no,yes,
1B71.2,Neonatal necrotising fasciitis,01,yes,both,all,annex,default,no,yes,
1B71.Y,Necrotising fasciitis due to other specified bacterial infection,01,yes,both,all,annex,default,yes,yes,
1B71.Z,"Necrotising fasciitis, unspecified",01,yes,both,all,annex,icd10 M72.6,yes,yes,
1B72,Impetigo,01,yes,both,all,annex,default,no,no,
1B72.0,Bullous impetigo,01,yes,both,all,annex,default,no,yes,
1B72.1,Non-bullous impetigo,01,yes,both,all,annex,default,no,yes,
1B72.2,Secondary impetiginisation of the skin,01,yes,both,all,annex,icd10 L01.1,no,yes,
1B72.Y,Other specified impetigo,01,yes,both,all,annex,default,yes,yes,
1B72.Z,"Impetigo, unspecified",01,yes,both,all,annex,icd10 L01 L01.0,yes,yes,
1B73,Ecthyma,01,yes,both,all,annex,default,no,no,
1B73.0,Streptococcal ecthyma,01,yes,both,all,annex,default,no,yes,
1B73.1,Staphylococcal ecthyma,01,yes,both,all,annex,default,no,yes,
1B73.2,Ecthyma gangrenosum,01,yes,both,all,annex,default,no,yes,
1B73.Y,Other specified ecthyma,01,yes,both,all,annex,default,yes,yes,
1B73.Z,"Ecthyma, unspecified",01,yes,both,all,annex,default,yes,yes,
1B74,Superficial bacterial folliculitis,01,yes,both,all,annex,default,no,no,
1B74.0,Staphylococcus aureus superficial folliculitis,01,yes,both,all,annex,default,no,yes,
1B74.Y,Superficial bacterial folliculitis due to other specified organism,01,yes,both,all,annex,default,yes,yes,
1B74.Z,Superficial bacterial folliculitis due to unspecified organism,01,yes,both,all,annex,default,yes,yes,
1B75,Deep bacterial folliculitis or pyogenic abscess of the skin,01,yes,both,all,annex,default,no,no,
1B75.0,Furuncle,01,yes,both,all,annex,default,no,yes,
1B75.1,Carbuncle,01,yes,both,all,annex,default,no,yes,
1B75.2,Furunculosis,01,yes,both,all,annex,default,no,yes,
1B75.3,Pyogenic abscess of the skin,01,yes,both,all,annex,default,no,yes,
1B75.4,Chronic deep bacterial folliculitis,01,yes,both,all,annex,default,no,yes,
1B75.Z,"Deep bacterial folliculitis or pyogenic abscess of the skin, unspecified",01,yes,both,all,annex,icd10 L02 L02.0 L02.1 L02.2 L02.3 L02.4 L02.8 L02.9,yes,yes,
1B7Y,Other specified pyogenic bacterial infection of skin or subcutaneous tissue,01,yes,both,all,annex,default,yes,yes,
1B7Z,"Pyogenic bacterial infection of skin or subcutaneous tissue, unspecified",01,yes,both,all,annex,default,yes,yes,
